,letter,counts
0,g,9637
1,f,5874
2,s,5261
3,b,5083
4,h,4853
5,w,3473
6,c,2957
7,m,2088
8,l,1783
9,d,1719
10,t,1663
11,þ,1261
12,r,1051
13,n,944
14,p,497
15,y,310
16,ð,3
17,v,1
