abal	afol|es
fla	[flae|]|flaa|flaan = flán|flán|flána|flánum
flaxe	an
flea	an
fleot	an|es|fleóte|fliét
flint	es
flit	es
floc	es
flor	es|flór|flóra|flóre
flys	fiís|fleŏs. es|fliés|flés
foda	an
font	es
forca	an
forn	e
forst	es
foster	fóstor|fóstres|fóstur
foþer	es|fóður
frasian	ad|ade|freásian
frecne	frǽcne
fremede	fremde|fremþe|fræmde
fremu	e
freo	freoh|frig|frioh|frió|frí|frý
frogga	an|frocga|froga
frum	se fruma
fugel	fugeles|fugles|fugol|fugul
furh	furum|fyrh
furþor	furður
fyll	e|fill|fyllo|fyllu
fyll	es|fell|fiell|fyl
fylst	e
fylþ	e
fyrhto	e|fyrhtu
fyrn	
fyrs	es
fyrwet	-wit|-wyt|es
gad	e
gad	es|gǽd
gaf	
galga	an|gealga
gandra	an|ganra
gang	es|geng|gong|gung
ganian	od|ode
gar	es
gea	
gealla	an|ealla
gearn	es|gern
geatas	Eótenas [v.|II.]|Iótas|Iútas|a|um
geles	-lis|es
gelm	es|gilm
geloman	
gen	gién
geo	gió
gerd	e
gerst	GRIST
gese	gise|gyse [ge+se = geá+sí]
gest	es
gilp	es|gelp|gielp|gylp
gim	gimm|gimmes|gym|gymm
gin	es
gist	es|gyst
gitan	geat|geáton|gietaþ|giete|gitaþ gytaþ|giten|gyte|he git|ic gite|ðú gitst
glæs	es
gleam	es
gled	e
gnæt	gnætt|gnættes
gnidan	gniden|gnidon|gnád|gnídaþ|he gnít|ic gníde|ðú gníst
greada	an
greot	es
gynan	
gyr	
gyt	
healm	es
hearm	es|herm
hedan	de
hege	es
hela	an|hǽla
help	e|es
heorþ	es
hete	es
hoc	es
holt	es
hord	es
hreaw	hrǽw [ hreów]
hreddan	de
hreoh	
husel	es|húsl|húsul
hyf	e
hyþ	'|e
ifig	es|ifegn
leoþ	es
lystan	te
mæd	(?) mǽdwa|an|e  we|mǽdwe
milde	
milte	an|es
