Mæg	mag
ameldod	ameldian
Hi	hi
færdon	None
ða	þe|þa|ða|se
þry	þri
and	and
heora	hira|hi|heore
gefæran	gefera
forleton	forlætan
oð	oþ|oð
þæt	þæt|se
hi	hi|heo
becoman	None
to	toh|to
ðære	se
cristenra	cristen
wununge	wunung
þær	þær
hi	hi|heo
dæges	dæg
and	and
nihtes	niht
heora	hira|hi|heore
Drihten	dryhten
heroden	None
On	on
ðam	ðam|se
ylcan	ilca
dæge	dæge|dæg
com	cuman
sum	sum|su
bisceop	bisceop
Helenus	helenus
gehaten	hatan|gehatan
haliges	halig
lifes	lifes|lif
mid	mid
mycelre	micel
meniu	menigu
anmodlice	anmodlice
singende	singan
Uia	uia
iustorum	iustorum
recta	recta
facta	facta
est	est
et	etan|et
iter	iter
sanctorum	sanctorum
preparata	preparata
est	est
þæt	þæt|se
is	wesan|seon|is
þæra	se
rihtwisra	rihtwis
wæg	wegan
is	wesan|seon|is
gerihtlæced	gerihtlæcan
and	and
þæra	se
halgena	halig|halga|haleg
siðfæt	siþfæt
is	wesan|seon|is
gegearcod	gegearcian|gearcian
Þes	þes
bisceop	bisceop
worhta	None
fæla	fæle|fela
wundra	wundrian|wundor|wund
þuruh	þurh
God	god
and	and
him	him|hi|he
wearð	None
geswutelod	geswutelian
on	on|an
swæfne	swefen
be	be
þysum	þes
and	and
eall	eall|eal
þæs	se
mædenes	mæden
mod	mod
him	him|hi|he
wearð	None
ameldod	ameldian
Ða	þa|se
gespræc	gesprecan
þæt	þæt|se
mæden	mæden|mecgan
sumne	sum
messepreost	mæssepreost
Eutropius	eutropius
gehaten	hatan|gehatan
þæt	þæt|se
he	he
hyre	hyrian|hyre|hyran|hyr|hire|heo
ærende	ærende|ærend
abude	abeodan
þam	þæm|þam|se
bisceope	bisceop
þysum	þes
wordum	word
geornlice	geornlice
we	we
ðry	þri
gebroðra	gebroðor
wyllað	None
gecyrran	gecyrran
fram	fram
þam	þæm|þam|se
fulan	ful
hæðenscype	hæðenscipe
to	toh|to
hælende	hælend|hælan
Criste	crist|Crist
and	and
we	we
n	næs|ne
ellað	None
nateshwon	nateshwon
us	we|us
næfre	næfre
totweman	None
Þa	þa|se
þæs	se
on	on|an
mergen	merigen
se	se
mæssepreost	mæssepreost
abead	abeodan
þæs	se
mædenes	mæden
word	word
þam	þæm|þam|se
mæron	mære
bisceope	bisceop
Þa	þa|se
het	hettan|het|hedan|hatan
se	se
bisceop	bisceop
hi	hi|heo
gelangian	gelangian
mycclum	micel
þanciende	þancian
þam	þæm|þam|se
ælmihtigan	ælmihtig|eallmihtig
Gode	god
þæt	þæt|se
he	he
wolde	willan
him	him|hi|he
onwreon	onwreon
þæs	se
mædenes	mæden
