Mæg	mag
betst	wel|betan
on	on|an
ðam	ðam|se
plegan	plegan|plega
forðam	forðam
ic	ic
hine	he
gelaðode	gelaðian
to	toh|to
ðysum	þes
urum	ure|ur
gebeorscipe	gebeorscipe
N	ne
at	None
ic	ic
hwæt	hwæt#2
he	he
is	wesan|seon|is
ne	nesan|neh|ne
hwanon	hwanan
he	he
is	wesan|seon|is
ac	acan|ac
gif	gif
ðu	þu
wille	willan
witan	witan|wita
hwæt	hwæt#2
he	he
sy	su
axsa	None
hine	he
forðam	forðam
þe	þu|þe|se
gedafenað	gedafenian
þæt	þæt|se
þu	þu
wite	wite|witan
Ða	þa|se
eode	gan|eadan
þæt	þæt|se
mæden	mæden|mecgan
to	toh|to
Apollonio	apollonius
and	and
mid	mid
forwandigendre	forwandian
spræce	sprecan
cwæð	cweðan
ðeah	þeah
ðu	þu
stille	stille|stillan
sy	su
and	and
unrot	unrot
þeah	þiсgan|þicgan|þeon|þeah
ic	ic
þine	þin
æðelborennesse	æþelborenness|æðelborenness|æðelborennes
on	on|an
ðe	þu|þe|ðe
geseo	geseon
Nu	nu
þonne	þonne|se
gif	gif
ðe	þu|þe|ðe
to	toh|to
hefig	hefig
ne	nesan|neh|ne
þince	None
sege	secgan
me	me|ic
þinne	þinne|þin
naman	naman|nama
and	and
þin	þu|þin
gelymp	gelimp
arece	arecan
me	me|ic
Ða	þa|se
cwæð	cweðan
Apollonius	apollonius
Gif	gifan|gif
ðu	þu
for	for|faran
neode	neod
axsast	None
æfter	æfter
minum	minum|min
naman	naman|nama
ic	ic
secge	secg
þe	þu|þe|se
ic	ic
hine	he
forleas	forleosan
on	on|an
sæ	sæ
Gif	gifan|gif
ðu	þu
wilt	willan
mine	min
æðelborennesse	æþelborenness|æðelborenness|æðelborennes
witan	witan|wita
wite	wite|witan
ðu	þu
þæt	þæt|se
ic	ic
hig	hi|heo|heg
forlet	forlætan
on	on|an
Tharsum	tharsus
Ðæt	se
mæden	mæden|mecgan
cwæð	cweðan
Sege	None
me	me|ic
gewislicor	gewislice
þæt	þæt|se
ic	ic
hit	hit
mæge	mæge|mæg|magan
understandan	understandan
Apollonius	apollonius
þa	þu|þa|se
soðlice	soþlice|soðlice
hyre	hyrian|hyre|hyran|hyr|hire|heo
arehte	arecan
ealle	ealle|eall|eal
his	hit|his|he
gelymp	gelimp
and	and
æt	æt|etan
þare	se
spræcan	None
ende	ende
him	him|hi|he
feollon	feollan|feallan
tearas	tear
of	of
ðam	ðam|se
eagum	eage
Mid	mid
þy	þywan|þy|þe|se
þe	þu|þe|se
se	se
cyngc	None
þæt	þæt|se
geseah	geseon
he	he
bewænde	bewendan
hine	he
ða	þe|þa|ða|se
to	toh|to
ðare	se
dohtor	dohtor
and	and
cwæð	cweðan
Leofe	None
dohtor	dohtor
þu	þu
gesingodest	gesingian
mid	mid
þy	þywan|þy|þe|se
þe	þu|þe|se
þu	þu
woldest	willan
witan	witan|wita
his	hit|his|he
naman	naman|nama
and	and
his	hit|his|he
gelimp	gelimpan|gelimp
þu	þu
hafast	hafian|habban
nu	nu
geedniwod	geedniwian
his	hit|his|he
ealde	eald
sar	sar
Ac	ac
ic	ic
bidde	biddan
þe	þu|þe|se
þæt	þæt|se
þu	þu
gife	gifu|gifan
him	him|hi|he
swa	swa
hwæt	hwæt#2
swa	swa
ðu	þu
wille	willan
Ða	þa|se
ða	þe|þa|ða|se
þæt	þæt|se
mæden	mæden|mecgan
gehirde	None
þæt	þæt|se
hire	hire|heo
wæs	wesan|seon|beon
alyfed	alyfan
fram	fram
hire	hire|heo
fæder	fæder
þæt	þæt|se
heo	heo
ær	ær
hyre	hyrian|hyre|hyran|hyr|hire|heo
silf	self
gedon	gedon|gedo|don
wolde	willan
ða	þe|þa|ða|se
cwæð	cweðan
heo	heo
to	toh|to
Apollonio	apollonius
Apolloni	apollonius
soðlice	soþlice|soðlice
þu	þu
eart	wesan|seon
ure	ure|ur
Forlæt	None
þine	þin
murcnunge	murcnung
and	and
nu	nu
ic	ic
mines	min
fæder	fæder
leafe	leaf
habbe	None
ic	ic
gedo	gedon
ðe	þu|þe|ðe
weligne	welig
Apollonius	apollonius
hire	hire|heo
þæs	se
þancode	þancian
and	and
se	se
cyngc	None
blissode	blissian
on	on|an
his	hit|his|he
dohtor	dohtor
welwillendnesse	welwilledness
and	and
hyre	hyrian|hyre|hyran|hyr|hire|heo
to	toh|to
cwæð	cweðan
Leofe	None
dohtor	dohtor
hat	hatan|hat
feccan	None
þine	þin
hearpan	hearpe
and	and
gecig	gecigan
ðe	þu|þe|ðe
to	toh|to
þine	þin
frynd	None
and	and
afirsa	afirsian
fram	fram
þam	þæm|þam|se
iungan	None
his	hit|his|he
sarnesse	sarness|sarnes
Ða	þa|se
eode	gan|eadan
heo	heo
ut	ut
and	and
het	hettan|het|hedan|hatan
feccan	None
hire	hire|heo
hearpan	hearpe
and	and
sona	sona
swa	swa
heo	heo
hearpian	hearpian
ongan	onginnan
heo	heo
mid	mid
winsumum	None
sange	sang
gemægnde	gemengan
þare	se
hearpan	hearpe
sweg	swegan|sweg
Ða	þa|se
ongunnon	onginnan
ealle	ealle|eall|eal
þa	þu|þa|se
men	mann
hi	hi|heo
herian	herian
on	on|an
hyre	hyrian|hyre|hyran|hyr|hire|heo
swegcræft	swegcræft
and	and
Apollonius	apollonius
ana	ana|an
swigode	swigian
Ða	þa|se
cwæð	cweðan
se	se
cyningc	None
Apolloni	apollonius
nu	nu
ðu	þu
dest	don
yfele	yfele|yfel
forðam	forðam
þe	þu|þe|se
ealle	ealle|eall|eal
men	mann
heriað	None
mine	min
dohtor	dohtor
on	on|an
hyre	hyrian|hyre|hyran|hyr|hire|heo
swegcræfte	swegcræft
and	and
þu	þu
ana	ana|an
hi	hi|heo
swigende	None
tælst	tælan
Apollonius	apollonius
cwæð	cweðan
Eala	eala
ðu	þu
goda	god
cyngc	None
gif	gif
ðu	þu
me	me|ic
gelifst	gelifan
ic	ic
secge	secg
þæt	þæt|se
ic	ic
ongite	ongitan
þæt	þæt|se
soðlice	soþlice|soðlice
þin	þu|þin
dohtor	dohtor
gefeol	gefeallan
on	on|an
swegcræft	swegcræft
ac	acan|ac
heo	heo
n	næs|ne
æfð	None
hine	he
na	na
wel	wel
geleornod	leornian|geleornian
Ac	ac
hat	hatan|hat
me	me|ic
nu	nu
sillan	sillan
þa	þu|þa|se
hearpan	hearpe
þonne	þonne|se
wast	witan
þu	þu
þæt	þæt|se
þu	þu
nu	nu
git	git|gietan
n	næs|ne
ast	None
Arcestrates	arcestrates
se	se
cyning	cyning
cwæð	cweðan
Apolloni	apollonius
ic	ic
oncnawe	oncnawan
soðlice	soþlice|soðlice
þæt	þæt|se
þu	þu
eart	wesan|seon
on	on|an
eallum	eall|eal
þingum	þing
wel	wel
gelæred	læran|gelæred|gelæran
Ða	þa|se
het	hettan|het|hedan|hatan
se	se
cyng	cyng
sillan	sillan
Apollonige	apollonius
þa	þu|þa|se
hearpan	hearpe
Apollonius	apollonius
þa	þu|þa|se
ut	ut
eode	gan|eadan
and	and
hine	he
scridde	scrydan
and	and
sette	settan
ænne	an
cynehelm	cynehelm
uppon	uppon|uppan
his	hit|his|he
heafod	heafod
and	and
nam	niman
þa	þu|þa|se
hearpan	hearpe
on	on|an
his	hit|his|he
hand	hand
and	and
in	in
eode	gan|eadan
and	and
swa	swa
stod	standan
þæt	þæt|se
se	se
cyngc	None
and	and
ealle	ealle|eall|eal
þa	þu|þa|se
ymbsittendan	ymbsittan
wendon	wendan|wenan
þæt	þæt|se
he	he
n	næs|ne
ære	ær
Apollonius	apollonius
ac	acan|ac
þæt	þæt|se
he	he
wære	wære|wær|wesan|seon|beon
Apollines	apollines
ðara	se
hæðenra	hæðen
God	god
Ða	þa|se
wearð	None
stilnes	stilnes|stillness
and	and
swige	swige
geworden	weorþan|geweorþan
innon	innon
ðare	se
healle	heall
And	and
Apollonius	apollonius
his	hit|his|he
hearpenægl	hearpenægel
genam	geniman
and	and
he	he
þa	þu|þa|se
hearpestrengas	hearpestreng
mid	mid
cræfte	cræftan|cræft
astirian	astirian
ongan	onginnan
and	and
þare	se
hearpan	hearpe
sweg	swegan|sweg
mid	mid
winsumum	None
sange	sang
gemægnde	gemengan
And	and
se	se
cyngc	None
silf	self
and	and
ealle	ealle|eall|eal
þe	þu|þe|se
þar	þær
andwearde	andweard
wæron	wesan|seon|beon
micelre	micel
stæfne	stefn
cliopodon	clypian
and	and
hine	he
heredon	herian|heredon
Æfter	æfter
þisum	þes
forlet	forlætan
Apollonius	apollonius
þa	þu|þa|se
hearpan	hearpe
and	and
plegode	plegian|plegan
and	and
fela	fela
fægera	fæger
þinga	þingian|þing
þar	þær
forð	forþ|forð
teah	teon
þe	þu|þe|se
þam	þæm|þam|se
folce	folc
ungecnawen	ungecnawen
wæs	wesan|seon|beon
and	and
ungewunelic	ungewunelic
and	and
heom	hi
eallum	eall|eal
þearle	þearle
licode	lician
ælc	ælc
þara	þær|se
þinga	þingian|þing
ðe	þu|þe|ðe
he	he
forð	forþ|forð
teah	teon
Soðlice	soþlice|soðlice
mid	mid
þy	þywan|þy|þe|se
þe	þu|þe|se
þæs	se
cynges	cyng
dohtor	dohtor
geseah	geseon
þæt	þæt|se
Apollonius	apollonius
on	on|an
eallum	eall|eal
godum	god
cræftum	cræft
swa	swa
wel	wel
wæs	wesan|seon|beon
getogen	teon|geteon
þa	þu|þa|se
gefeol	gefeallan
hyre	hyrian|hyre|hyran|hyr|hire|heo
mod	mod
on	on|an
his	hit|his|he
lufe	lufu|lufe
Ða	þa|se
æfter	æfter
þæs	se
beorscipes	gebeorscipe
geendunge	geendung
cwæð	cweðan
þæt	þæt|se
mæden	mæden|mecgan
to	toh|to
ðam	ðam|se
cynge	cyng
Leofa	None
fæder	fæder
þu	þu
lyfdest	lifan
me	me|ic
litle	None
ær	ær
þæt	þæt|se
ic	ic
moste	motan
gifan	gifan
Apollonio	apollonius
swa	swa
hwæt	hwæt#2
swa	swa
ic	ic
wolde	willan
of	of
þinum	þin
goldhorde	goldhord
Arcestrates	arcestrates
se	se
cyng	cyng
cwæð	cweðan
to	toh|to
hyre	hyrian|hyre|hyran|hyr|hire|heo
Gif	gifan|gif
him	him|hi|he
swa	swa
hwæt	hwæt#2
swa	swa
ðu	þu
wille	willan
Heo	heo
ða	þe|þa|ða|se
swiðe	swiðe|swiðan
bliðe	bliðe
ut	ut
eode	gan|eadan
and	and
cwæð	cweðan
Lareow	None
Apolloni	apollonius
ic	ic
gife	gifu|gifan
þe	þu|þe|se
be	be
mines	min
fæder	fæder
leafe	leaf
twa	twegen|twa
hund	hund|1000
punda	pund
goldes	gold
and	and
feower	feower
hund	hund|1000
punda	pund
gewihte	gewiht
seolfres	seolfor
and	and
þone	se
mæstan	micel
dæl	dælan|dæl
deorwurðan	deorwyrþe
reafes	reaf
and	and
twentig	twentig
ðeowa	þeow
manna	mannian|mann
And	and
heo	heo
þa	þu|þa|se
þus	þus
cwæð	cweðan
to	toh|to
ðam	ðam|se
þeowum	þeow
mannum	mann
Berað	None
þas	þes
þingc	None
mid	mid
eow	ge|eowan|eow
þe	þu|þe|se
ic	ic
behet	behatan
Apollonio	apollonius
minum	minum|min
lareowe	lareow
and	and
lecgað	None
innon	innon
bure	bur
beforan	beforan
minum	minum|min
freondum	freond
Þis	þes
wearð	None
þa	þu|þa|se
þus	þus
gedon	gedon|gedo|don
æfter	æfter
þare	se
cwene	cwene|cwen
hæse	hæs
and	and
ealle	ealle|eall|eal
þa	þu|þa|se
men	mann
hire	hire|heo
gife	gifu|gifan
heredon	herian|heredon
ðe	þu|þe|ðe
hig	hi|heo|heg
gesawon	geseon
Ða	þa|se
soðlice	soþlice|soðlice
geendode	geendian
þe	þu|þe|se
gebeorscipe	gebeorscipe
and	and
þa	þu|þa|se
men	mann
ealle	ealle|eall|eal
arison	arisan
and	and
gretton	gretan
þone	se
cyngc	None
and	and
ða	þe|þa|ða|se
cwene	cwene|cwen
and	and
bædon	biddan
hig	hi|heo|heg
gesunde	gesund
beon	beon|beo|bannan
and	and
ham	ham
gewændon	None
Eac	eac
swilce	swilce
Apollonius	apollonius
cwæð	cweðan
ðu	þu
goda	god
cyngc	None
and	and
earmra	earm
gemiltsigend	gemiltsigend
and	and
þu	þu
cwen	cwen
lare	lar
lufigend	lufiend
beon	beon|beo|bannan
ge	ge
gesunde	gesund
He	he
beseah	beseon
eac	eacan|eac
to	toh|to
ðam	ðam|se
þeowum	þeow
mannum	mann
þe	þu|þe|se
þæt	þæt|se
mæden	mæden|mecgan
him	him|hi|he
forgifen	forgifan
hæfde	habban
and	and
heom	hi
cwæð	cweðan
to	toh|to
Nimað	None
þas	þes
þing	þingan|þing
mid	mid
eow	ge|eowan|eow
þe	þu|þe|se
me	me|ic
seo	seon|seo|se
cwen	cwen
forgeaf	forgifan|forgiefan
and	and
gan	gan
we	we
secan	sec
ure	ure|ur
gesthus	gesthus
þæt	þæt|se
we	we
magon	magan
us	we|us
gerestan	gerestan
Ða	þa|se
adred	adrædan
þæt	þæt|se
mæden	mæden|mecgan
þæt	þæt|se
heo	heo
næfre	næfre
eft	eft
Apollonium	apollonius
ne	nesan|neh|ne
gesawe	geseon|gesawan
swa	swa
raðe	raðe
swa	swa
heo	heo
wolde	willan
and	and
eode	gan|eadan
þa	þu|þa|se
to	toh|to
hire	hire|heo
fæder	fæder
and	and
cwæð	cweðan
ðu	þu
goda	god
cyningc	None
licað	lican
ðe	þu|þe|ðe
wel	wel
þæt	þæt|se
Apollonius	apollonius
þe	þu|þe|se
þurh	þurh
us	we|us
todæg	todæg
gegodod	gegodian
is	wesan|seon|is
þus	þus
heonon	heonan
fare	faru|faran|fah
and	and
cuman	cuman|cuma
yfele	yfele|yfel
men	mann
and	and
bereafian	bereafian
hine	he
Se	se
cyngc	None
cwæð	cweðan
Wel	wel
þu	þu
cwæde	cweþan|cweðan
Hat	None
him	him|hi|he
findan	findan
hwar	hwær
he	he
hine	he
mæge	mæge|mæg|magan
wurðlicost	weorþlice
gerestan	gerestan
Ða	þa|se
dide	None
þæt	þæt|se
mæden	mæden|mecgan
swa	swa
hyre	hyrian|hyre|hyran|hyr|hire|heo
beboden	bebiddan|bebeodan
wæs	wesan|seon|beon
and	and
Apollonius	apollonius
onfeng	onfon
þare	se
wununge	wunung
ðe	þu|þe|ðe
hym	he
getæht	tæсan|tæcan|geteon
wæs	wesan|seon|beon
and	and
ðar	þær
in	in
eode	gan|eadan
Gode	god
þancigende	þancian
ðe	þu|þe|ðe
him	him|hi|he
ne	nesan|neh|ne
forwyrnde	forwyrnan
cynelices	cynelic
wurðscipes	None
and	and
frofres	frofor
Ac	ac
þæt	þæt|se
mæden	mæden|mecgan
hæfde	habban
unstille	unstille
niht	niht|neaht
mid	mid
þare	se
lufe	lufu|lufe
onæled	onælan
þara	þær|se
worda	word
and	and
sanga	sang
þe	þu|þe|se
heo	heo
gehyrde	gehyrdan|gehyran
æt	æt|etan
Apollonige	apollonius
and	and
na	na
leng	lengan|leng|lange
heo	heo
ne	nesan|neh|ne
gebad	gebidan
ðonne	þonne
hit	hit
dæg	dæg
wæs	wesan|seon|beon
ac	acan|ac
eode	gan|eadan
sona	sona
swa	swa
hit	hit
leoht	sunnan|leoht
wæs	wesan|seon|beon
and	and
gesæt	gesittan
beforan	beforan
hire	hire|heo
fæder	fæder
bedde	bedd|bed
Ða	þa|se
cwæð	cweðan
se	se
cyngc	None
Leofe	None
dohtor	dohtor
for	for|faran
hwi	hwy|hwi
eart	wesan|seon
ðu	þu
þus	þus
ærwacol	ærwacol
Ðæt	se
mæden	mæden|mecgan
cwæð	cweðan
Me	ic
awehton	aweccan
þa	þu|þa|se
gecnerdnessan	gecneordnys
þe	þu|þe|se
ic	ic
girstandæg	gyrstandæg
gehyrde	gehyrdan|gehyran
Nu	nu
bidde	biddan
ic	ic
ðe	þu|þe|ðe
forðam	forðam
þæt	þæt|se
þu	þu
befæste	befæstan
me	me|ic
urum	ure|ur
cuman	cuman|cuma
Apollonige	apollonius
to	toh|to
lare	lar
Ða	þa|se
wearð	None
se	se
cyningc	None
þearle	þearle
geblissod	geblissian|blissian
and	and
het	hettan|het|hedan|hatan
feccan	None
Apollonium	apollonius
and	and
him	him|hi|he
to	toh|to
cwæð	cweðan
Min	min
dohtor	dohtor
girnð	gyrnan
þæt	þæt|se
heo	heo
mote	motan|mot
leornian	leornian
æt	æt|etan
ðe	þu|þe|ðe
ða	þe|þa|ða|se
gesæligan	gesælig
lare	lar
ðe	þu|þe|ðe
þu	þu
canst	cunnan
And	and
gif	gif
ðu	þu
wilt	willan
þisum	þes
þingum	þing
gehyrsum	gehyrsum
beon	beon|beo|bannan
ic	ic
swerige	None
ðe	þu|þe|ðe
þurh	þurh
mines	min
rices	None
mægna	mægen
þæt	þæt|se
swa	swa
hwæt	hwæt#2
swa	swa
ðu	þu
on	on|an
sæ	sæ
forlure	forleosan
ic	ic
ðe	þu|þe|ðe
þæt	þæt|se
on	on|an
lande	land|finna
gestaðelige	gestaðelian
Ða	þa|se
ða	þe|þa|ða|se
Apollonius	apollonius
þæt	þæt|se
gehyrde	gehyrdan|gehyran
he	he
onfengc	None
þam	þæm|þam|se
mædenne	None
to	toh|to
lare	lar
and	and
hire	hire|heo
tæhte	tæсan|tæcan
swa	swa
wel	wel
swa	swa
he	he
silf	self
geleornode	geleornian
Hyt	hit
gelamp	gelimpan
ða	þe|þa|ða|se
æfter	æfter
þisum	þes
binnon	binnon
feawum	feawa|feaw
tidum	tid
þæt	þæt|se
Arcestrates	arcestrates
se	se
cyngc	None
heold	healdan
Apollonius	apollonius
hand	hand
on	on|an
handa	hand
and	and
eodon	gan|eadan
swa	swa
ut	ut
on	on|an
ðare	se
ceastre	ceaster
stræte	stræte|stræt
Þa	þa|se
æt	æt|etan
nyhstan	neah
comon	cuman
ðar	þær
gan	gan
ongean	ongeagn
hy	hi
þry	þri
gelærede	gelæred
weras	wer
and	and
æþelborene	æþelboren
þa	þu|þa|se
lange	lange|lang
ær	ær
girndon	gyrnan
þæs	se
cyninges	cyning
dohtor	dohtor
Hi	hi
ða	þe|þa|ða|se
ealle	ealle|eall|eal
þry	þri
togædere	togædere
anre	an
stæfne	stefn
gretton	gretan
þone	se
cyngc	None
Ða	þa|se
smercode	smearcian
se	se
cyng	cyng
and	and
heom	hi
to	toh|to
beseah	beseon
and	and
þus	þus
cwæð	cweðan
Hwæt	None
is	wesan|seon|is
þæt	þæt|se
þæt	þæt|se
ge	ge
me	me|ic
anre	an
stæfne	stefn
gretton	gretan
Ða	þa|se
andswerode	None
heora	hira|hi|heore
an	on|an
and	and
cwæð	cweðan
We	we
bædon	biddan
gefirn	gefyrn
þynre	þynne|þin
dohtor	dohtor
and	and
þu	þu
us	we|us
oftrædlice	oftrædlice
mid	mid
elcunge	elcung
geswænctest	geswencan
Forðam	forðam
we	we
comon	cuman
hider	hider
todæg	todæg
þus	þus
togædere	togædere
We	we
syndon	None
þyne	þin
ceastergewaran	ceastergewaran
of	of
æðelum	æðele
gebyrdum	gebyrde|gebyrd
geborene	geboren|geberan
Nu	nu
bidde	biddan
we	we
þe	þu|þe|se
þæt	þæt|se
þu	þu
geceose	geceosan
þe	þu|þe|se
ænne	an
of	of
us	we|us
þrym	þri
hwilcne	hwilc
þu	þu
wille	willan
þe	þu|þe|se
to	toh|to
aðume	aðum
habban	habban
Ða	þa|se
cwæð	cweðan
se	se
cyngc	None
N	ne
abbe	None
ge	ge
na	na
godne	god
timan	tima
aredodne	aredian
Min	min
dohtor	dohtor
is	wesan|seon|is
nu	nu
swiðe	swiðe|swiðan
bisy	bysig
ymbe	ymbe|ymb
hyre	hyrian|hyre|hyran|hyr|hire|heo
leornunga	leornung
ac	acan|ac
þe	þu|þe|se
læs	læs|lesan
þe	þu|þe|se
ic	ic
eow	ge|eowan|eow
a	wifcynn|hosp|flet|a
leng	lengan|leng|lange
slæce	slæccan|slæc
awritað	awritan
eowre	None
naman	naman|nama
on	on|an
gewrite	gewritan|gewrit
and	and
hire	hire|heo
morgengife	morgengif
þonne	þonne|se
asænde	asendan
ic	ic
þa	þu|þa|se
gewrita	gewrit
minre	minre|min
dohtor	dohtor
þæt	þæt|se
heo	heo
sylf	self
geceose	geceosan
hwilcne	hwilc
eowerne	eower
heo	heo
wille	willan
Ða	þa|se
didon	None
ða	þe|þa|ða|se
cnihtas	cniht
swa	swa
and	and
se	se
cyngc	None
nam	niman
ða	þe|þa|ða|se
gewrita	gewrit
and	and
geinseglode	geinseglian
hi	hi|heo
mid	mid
his	hit|his|he
ringe	None
and	and
sealde	sellan
Apollonio	apollonius
þus	þus
cweðende	cweðan
Nim	None
nu	nu
lareow	lareow
Apolloni	apollonius
swa	swa
hit	hit
þe	þu|þe|se
ne	nesan|neh|ne
mislicyge	mislician
and	and
bryng	None
þinum	þin
lærincgmædene	læringmædene
Ða	þa|se
nam	niman
Apollonius	apollonius
þa	þu|þa|se
gewrita	gewrit
and	and
eode	gan|eadan
to	toh|to
ðare	se
cynelican	cynelic
healle	heall
Mid	mid
þam	þæm|þam|se
þe	þu|þe|se
þæt	þæt|se
mæden	mæden|mecgan
geseah	geseon
Apollonium	apollonius
þa	þu|þa|se
cwæð	cweðan
heo	heo
Lareow	None
hwi	hwy|hwi
gæst	gæstan|gan
ðu	þu
ana	ana|an
Apollonius	apollonius
cwæð	cweðan
Hlæfdige	hlæfdige
n	næs|ne
æs	æs
git	git|gietan
yfel	yfel
wif	wif
nim	niman
ðas	þes|se
gewrita	gewrit
ðe	þu|þe|ðe
þin	þu|þin
fæder	fæder
þe	þu|þe|se
sænde	None
and	and
ræd	rædan|ræd
Ðæt	se
mæden	mæden|mecgan
nam	niman
and	and
rædde	rædan
þara	þær|se
þreora	þri
cnihta	cniht
naman	naman|nama
ac	acan|ac
heo	heo
ne	nesan|neh|ne
funde	findan
na	na
þone	se
naman	naman|nama
þaron	þæron|þaron
þe	þu|þe|se
heo	heo
wolde	willan
Ða	þa|se
heo	heo
þa	þu|þa|se
gewrita	gewrit
oferræd	oferrædan
hæfde	habban
ða	þe|þa|ða|se
beseah	beseon
heo	heo
to	toh|to
Apollonio	apollonius
and	and
cwæð	cweðan
Lareow	None
ne	nesan|neh|ne
ofþingð	ofþyncan
hit	hit
ðe	þu|þe|ðe
gif	gif
ic	ic
þus	þus
wer	wer
geceose	geceosan
Apollonius	apollonius
cwæð	cweðan
Na	na
ac	acan|ac
ic	ic
blissige	blissian
swiðor	swiðe
ðæt	þæt|ðæt|se
þu	þu
miht	miht
ðurh	þurh|ðurh
ða	þe|þa|ða|se
lare	lar
þe	þu|þe|se
þu	þu
æt	æt|etan
me	me|ic
underfenge	underfon
þe	þu|þe|se
silf	self
on	on|an
gewrite	gewritan|gewrit
gecyðan	gecyðan
hwilcne	hwilc
heora	hira|hi|heore
þu	þu
wille	willan
Min	min
willa	willian|willa
is	wesan|seon|is
þæt	þæt|se
þu	þu
ðe	þu|þe|ðe
wer	wer
geceose	geceosan
þar	þær
ðu	þu
silf	self
wille	willan
Þæt	þæt|se
mæden	mæden|mecgan
cwæð	cweðan
Eala	eala
lareow	lareow
gif	gif
ðu	þu
me	me|ic
lufodest	lufian
þu	þu
hit	hit
besorgodest	besorgian
Æfter	æfter
þisum	þes
wordum	word
heo	heo
mid	mid
modes	mod
anrædnesse	anrædnes
awrat	awritan
oðer	oðer
gewrit	gewritan|gewrit
and	and
þæt	þæt|se
geinseglode	geinseglian
and	and
sealde	sellan
Apollonio	apollonius
Apollonius	apollonius
hit	hit
þa	þu|þa|se
ut	ut
bær	bær|beran
on	on|an
ða	þe|þa|ða|se
stræte	stræte|stræt
and	and
sealde	sellan
þam	þæm|þam|se
cynge	cyng
Ðæt	se
gewrit	gewritan|gewrit
wæs	wesan|seon|beon
þus	þus
gewriten	writan|gewritan
þu	þu
goda	god
cyngc	None
and	and
min	min|ic
se	se
leofesta	None
fæder	fæder
nu	nu
þin	þu|þin
mildheortnesse	mildheortness|mildheortnes
me	me|ic
leafe	leaf
sealde	sellan
þæt	þæt|se
ic	ic
silf	self
moste	motan
ceosan	None
hwilcne	hwilc
wer	wer
ic	ic
wolde	willan
ic	ic
secge	secg
ðe	þu|þe|ðe
to	toh|to
soðan	soð
þone	se
forlidenan	forliðan|forliden
man	munan|mann|man
ic	ic
wille	willan
And	and
gif	gif
ðu	þu
wundrige	wundrian
þæt	þæt|se
swa	swa
scamfæst	sceamfæst
fæmne	fæmne
swa	swa
unforwandigendlice	unforwandigendlice
ðas	þes|se
word	word
awrat	awritan
þonne	þonne|se
wite	wite|witan
þu	þu
þæt	þæt|se
ic	ic
hæbbe	habban
þurh	þurh
weax	weaxan|weax
aboden	abeodan
ðe	þu|þe|ðe
nane	nan
scame	sceamu|scamu
ne	nesan|neh|ne
can	сinan|cunnan
þæt	þæt|se
ic	ic
silf	self
ðe	þu|þe|ðe
for	for|faran
scame	sceamu|scamu
secgan	None
ne	nesan|neh|ne
mihte	miht|meaht|magan
Ða	þa|se
ða	þe|þa|ða|se
se	se
cyningc	None
hæfde	habban
þæt	þæt|se
gewrit	gewritan|gewrit
oferræd	oferrædan
þa	þu|þa|se
n	næs|ne
iste	None
he	he
hwilcne	hwilc
forlidene	forliðan|forliden
heo	heo
nemde	nemnan
Beseah	beseon
ða	þe|þa|ða|se
to	toh|to
ðam	ðam|se
þrim	þri
cnihtum	cniht
and	and
cwæð	cweðan
Hwilc	hwilc
eower	ge|eower
is	wesan|seon|is
forliden	forliþan|forliðan|forliden
Ða	þa|se
cwæð	cweðan
heora	hira|hi|heore
an	on|an
se	se
hatte	hatan
Ardalius	ardalius
Ic	ic
eom	wesan|seon|eoh
forliden	forliþan|forliðan|forliden
Se	se
oðer	oðer
him	him|hi|he
andwirde	andwirdan|andwerdan
and	and
cwæð	cweðan
Swiga	swigan
ðu	þu
adl	adl
þe	þu|þe|se
fornime	forniman
þæt	þæt|se
ðu	þu
ne	nesan|neh|ne
beo	beon|beo
hal	hal
ne	nesan|neh|ne
gesund	gesund
Mid	mid
me	me|ic
þu	þu
boccræft	boccræft
leornodest	leornian
and	and
ðu	þu
næfre	næfre
buton	butan
þare	se
ceastre	ceaster
geate	gietan|geatan|geat
fram	fram
me	me|ic
ne	nesan|neh|ne
come	cuman|come
Hwar	hwær|hwar
gefore	gefaran
ðu	þu
forlidennesse	forlidennes
Mid	mid
ði	se
þe	þu|þe|se
se	se
cyngc	None
ne	nesan|neh|ne
mihte	miht|meaht|magan
findan	findan
hwilc	hwilc
heora	hira|hi|heore
forliden	forliþan|forliðan|forliden
wære	wære|wær|wesan|seon|beon
he	he
beseah	beseon
to	toh|to
Apollonio	apollonius
and	and
cwæð	cweðan
Nim	None
ðu	þu
Apolloni	apollonius
þis	þes
gewrit	gewritan|gewrit
and	and
ræd	rædan|ræd
hit	hit
Eaðe	eaðe
mæg	mæg|magan
gewurðan	gewurðan
þæt	þæt|se
þu	þu
wite	wite|witan
þæt	þæt|se
ic	ic
n	næs|ne
at	None
ðu	þu
ðe	þu|þe|ðe
þar	þær
andweard	andweard
wære	wære|wær|wesan|seon|beon
Ða	þa|se
nam	niman
Apollonius	apollonius
þæt	þæt|se
gewrit	gewritan|gewrit
and	and
rædde	rædan
and	and
sona	sona
swa	swa
he	he
ongeat	ongitan|ongietan
þæt	þæt|se
he	he
gelufod	lufian|gelufod|gelufian
wæs	wesan|seon|beon
fram	fram
ðam	ðam|se
mædene	mæden
his	hit|his|he
andwlita	andwlita
eal	eal
areodode	areodian
Ða	þa|se
se	se
cyngc	None
þæt	þæt|se
geseah	geseon
þa	þu|þa|se
nam	niman
he	he
Apollonies	apollonius
hand	hand
and	and
hine	he
